index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,73.51603797984045
2,0,0,10,2.svg,73.51603797984045
3,0,0,100,3.svg,73.51603797984045
4,0,2,1,4.svg,72.88894539144515
5,0,2,10,5.svg,72.88894539144515
6,0,2,100,6.svg,72.88894539144515
7,0,4,1,7.svg,72.59760651095023
8,0,4,10,8.svg,72.59760651095023
9,0,4,100,9.svg,72.59760651095023
10,0,6,1,10.svg,72.48202050431203
11,0,6,10,11.svg,72.48202050431203
12,0,6,100,12.svg,72.48202050431203
13,0,8,1,13.svg,72.25073830041097
14,0,8,10,14.svg,72.25073830041097
15,0,8,100,15.svg,72.25073830041097
16,2,0,1,16.svg,72.51651400061219
17,2,0,10,17.svg,72.51651400061219
18,2,0,100,18.svg,72.51651400061219
19,2,2,1,19.svg,72.54834577125
20,2,2,10,20.svg,72.54834577125
21,2,2,100,21.svg,72.54834577125
22,2,4,1,22.svg,72.44832678432836
23,2,4,10,23.svg,72.44832678432836
24,2,4,100,24.svg,72.44832678432836
25,2,6,1,25.svg,72.43805659999087
26,2,6,10,26.svg,72.43805659999087
27,2,6,100,27.svg,72.43805659999087
28,2,8,1,28.svg,72.3568950769352
29,2,8,10,29.svg,72.3568950769352
30,2,8,100,30.svg,72.3568950769352
31,4,0,1,31.svg,72.344598733935
32,4,0,10,32.svg,72.344598733935
33,4,0,100,33.svg,72.344598733935
34,4,2,1,34.svg,72.3573914372976
35,4,2,10,35.svg,72.3573914372976
36,4,2,100,36.svg,72.3573914372976
37,4,4,1,37.svg,72.31612458384232
38,4,4,10,38.svg,72.31612458384232
39,4,4,100,39.svg,72.31612458384232
40,4,6,1,40.svg,72.34157372436499
41,4,6,10,41.svg,72.34157372436499
42,4,6,100,42.svg,72.34157372436499
43,4,8,1,43.svg,72.31361500764012
44,4,8,10,44.svg,72.31361500764012
45,4,8,100,45.svg,72.31361500764012
46,6,0,1,46.svg,72.25916860503537
47,6,0,10,47.svg,72.25916860503537
48,6,0,100,48.svg,72.25916860503537
49,6,2,1,49.svg,72.26432584576759
50,6,2,10,50.svg,72.26432584576759
51,6,2,100,51.svg,72.26432584576759
52,6,4,1,52.svg,72.24896075180874
53,6,4,10,53.svg,72.24896075180874
54,6,4,100,54.svg,72.24896075180874
55,6,6,1,55.svg,72.25509640133296
56,6,6,10,56.svg,72.25509640133296
57,6,6,100,57.svg,72.25509640133296
58,6,8,1,58.svg,72.24950986059385
59,6,8,10,59.svg,72.24950986059385
60,6,8,100,60.svg,72.24950986059385
61,8,0,1,61.svg,72.18920783125937
62,8,0,10,62.svg,72.18920783125937
63,8,0,100,63.svg,72.18920783125937
64,8,2,1,64.svg,72.18416158122429
65,8,2,10,65.svg,72.18416158122429
66,8,2,100,66.svg,72.18416158122429
67,8,4,1,67.svg,72.17868750537365
68,8,4,10,68.svg,72.17868750537365
69,8,4,100,69.svg,72.17868750537365
70,8,6,1,70.svg,72.18392415920056
71,8,6,10,71.svg,72.18392415920056
72,8,6,100,72.svg,72.18392415920056
73,8,8,1,73.svg,72.18496983984834
74,8,8,10,74.svg,72.18496983984834
75,8,8,100,75.svg,72.18496983984834
