index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,68.60679924775759
2,0,0,10,2.svg,68.60679924775759
3,0,0,100,3.svg,68.60679924775759
4,0,2,1,4.svg,68.0673347748936
5,0,2,10,5.svg,68.0673347748936
6,0,2,100,6.svg,68.0673347748936
7,0,4,1,7.svg,67.949245960408
8,0,4,10,8.svg,67.949245960408
9,0,4,100,9.svg,67.949245960408
10,0,6,1,10.svg,67.87518038198841
11,0,6,10,11.svg,67.87518038198841
12,0,6,100,12.svg,67.87518038198841
13,0,8,1,13.svg,67.82460143047628
14,0,8,10,14.svg,67.82460143047628
15,0,8,100,15.svg,67.82460143047628
16,2,0,1,16.svg,66.70268256367608
17,2,0,10,17.svg,66.70268256367608
18,2,0,100,18.svg,66.70268256367608
19,2,2,1,19.svg,66.6909928859571
20,2,2,10,20.svg,66.6909928859571
21,2,2,100,21.svg,66.6909928859571
22,2,4,1,22.svg,66.68007758591308
23,2,4,10,23.svg,66.68007758591308
24,2,4,100,24.svg,66.68007758591308
25,2,6,1,25.svg,66.66165943795906
26,2,6,10,26.svg,66.66165943795906
27,2,6,100,27.svg,66.66165943795906
28,2,8,1,28.svg,66.63780699549355
29,2,8,10,29.svg,66.63780699549355
30,2,8,100,30.svg,66.63780699549355
31,4,0,1,31.svg,66.53258355401132
32,4,0,10,32.svg,66.53258355401132
33,4,0,100,33.svg,66.53258355401132
34,4,2,1,34.svg,66.5305775129024
35,4,2,10,35.svg,66.5305775129024
36,4,2,100,36.svg,66.5305775129024
37,4,4,1,37.svg,66.52005795999058
38,4,4,10,38.svg,66.52005795999058
39,4,4,100,39.svg,66.52005795999058
40,4,6,1,40.svg,66.51625598706526
41,4,6,10,41.svg,66.51625598706526
42,4,6,100,42.svg,66.51625598706526
43,4,8,1,43.svg,66.50850658011204
44,4,8,10,44.svg,66.50850658011204
45,4,8,100,45.svg,66.50850658011204
46,6,0,1,46.svg,66.48887342787339
47,6,0,10,47.svg,66.48887342787339
48,6,0,100,48.svg,66.48887342787339
49,6,2,1,49.svg,66.48769945633349
50,6,2,10,50.svg,66.48769945633349
51,6,2,100,51.svg,66.48769945633349
52,6,4,1,52.svg,66.48355085674464
53,6,4,10,53.svg,66.48355085674464
54,6,4,100,54.svg,66.48355085674464
55,6,6,1,55.svg,66.48558387377793
56,6,6,10,56.svg,66.48558387377793
57,6,6,100,57.svg,66.48558387377793
58,6,8,1,58.svg,66.49005334432856
59,6,8,10,59.svg,66.49005334432856
60,6,8,100,60.svg,66.49005334432856
61,8,0,1,61.svg,66.46134401759876
62,8,0,10,62.svg,66.46134401759876
63,8,0,100,63.svg,66.46134401759876
64,8,2,1,64.svg,66.46068412514386
65,8,2,10,65.svg,66.46068412514386
66,8,2,100,66.svg,66.46068412514386
67,8,4,1,67.svg,66.45860619118288
68,8,4,10,68.svg,66.45860619118288
69,8,4,100,69.svg,66.45860619118288
70,8,6,1,70.svg,66.45859244116792
71,8,6,10,71.svg,66.45859244116792
72,8,6,100,72.svg,66.45859244116792
73,8,8,1,73.svg,66.46106304278695
74,8,8,10,74.svg,66.46106304278695
75,8,8,100,75.svg,66.46106304278695
