index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,73.71356884232335
2,0,0,10,2.svg,73.71356884232335
3,0,0,100,3.svg,73.71356884232335
4,0,2,1,4.svg,73.31297068009657
5,0,2,10,5.svg,73.31297068009657
6,0,2,100,6.svg,73.31297068009657
7,0,4,1,7.svg,73.19042103701958
8,0,4,10,8.svg,73.19042103701958
9,0,4,100,9.svg,73.19042103701958
10,0,6,1,10.svg,73.09797549870115
11,0,6,10,11.svg,73.09797549870115
12,0,6,100,12.svg,73.09797549870115
13,0,8,1,13.svg,73.03600620458668
14,0,8,10,14.svg,73.03600620458668
15,0,8,100,15.svg,73.03600620458668
16,2,0,1,16.svg,72.99482160337983
17,2,0,10,17.svg,72.99482160337983
18,2,0,100,18.svg,72.99482160337983
19,2,2,1,19.svg,72.98607383653723
20,2,2,10,20.svg,72.98607383653723
21,2,2,100,21.svg,72.98607383653723
22,2,4,1,22.svg,72.95873121150133
23,2,4,10,23.svg,72.95873121150133
24,2,4,100,24.svg,72.95873121150133
25,2,6,1,25.svg,72.94910463940192
26,2,6,10,26.svg,72.94910463940192
27,2,6,100,27.svg,72.94910463940192
28,2,8,1,28.svg,72.92981412107555
29,2,8,10,29.svg,72.92981412107555
30,2,8,100,30.svg,72.92981412107555
31,4,0,1,31.svg,72.88879013467317
32,4,0,10,32.svg,72.88879013467317
33,4,0,100,33.svg,72.88879013467317
34,4,2,1,34.svg,72.88524650222602
35,4,2,10,35.svg,72.88524650222602
36,4,2,100,36.svg,72.88524650222602
37,4,4,1,37.svg,72.85759672262424
38,4,4,10,38.svg,72.85759672262424
39,4,4,100,39.svg,72.85759672262424
40,4,6,1,40.svg,72.8591446003626
41,4,6,10,41.svg,72.8591446003626
42,4,6,100,42.svg,72.8591446003626
43,4,8,1,43.svg,72.86585866461076
44,4,8,10,44.svg,72.86585866461076
45,4,8,100,45.svg,72.86585866461076
46,6,0,1,46.svg,72.8377024263616
47,6,0,10,47.svg,72.8377024263616
48,6,0,100,48.svg,72.8377024263616
49,6,2,1,49.svg,72.83810428947778
50,6,2,10,50.svg,72.83810428947778
51,6,2,100,51.svg,72.83810428947778
52,6,4,1,52.svg,72.82001722595163
53,6,4,10,53.svg,72.82001722595163
54,6,4,100,54.svg,72.82001722595163
55,6,6,1,55.svg,72.8112406861612
56,6,6,10,56.svg,72.8112406861612
57,6,6,100,57.svg,72.8112406861612
58,6,8,1,58.svg,72.8172184396283
59,6,8,10,59.svg,72.8172184396283
60,6,8,100,60.svg,72.8172184396283
61,8,0,1,61.svg,72.78996230321972
62,8,0,10,62.svg,72.78996230321972
63,8,0,100,63.svg,72.78996230321972
64,8,2,1,64.svg,72.78520179901842
65,8,2,10,65.svg,72.78520179901842
66,8,2,100,66.svg,72.78520179901842
67,8,4,1,67.svg,72.77373017968301
68,8,4,10,68.svg,72.77373017968301
69,8,4,100,69.svg,72.77373017968301
70,8,6,1,70.svg,72.76424177815355
71,8,6,10,71.svg,72.76424177815355
72,8,6,100,72.svg,72.76424177815355
73,8,8,1,73.svg,72.78052566083258
74,8,8,10,74.svg,72.78052566083258
75,8,8,100,75.svg,72.78052566083258
