index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,37.48073169628545
2,0,0,10,2.svg,37.48073169628545
3,0,0,100,3.svg,37.48073169628545
4,0,2,1,4.svg,37.48073253575426
5,0,2,10,5.svg,37.48073253575426
6,0,2,100,6.svg,37.48073253575426
7,0,4,1,7.svg,37.48073229644754
8,0,4,10,8.svg,37.48073229644754
9,0,4,100,9.svg,37.48073229644754
10,0,6,1,10.svg,37.48073229644754
11,0,6,10,11.svg,37.48073229644754
12,0,6,100,12.svg,37.48073229644754
13,0,8,1,13.svg,37.48073229644754
14,0,8,10,14.svg,37.48073229644754
15,0,8,100,15.svg,37.48073229644754
16,2,0,1,16.svg,37.480644038895896
17,2,0,10,17.svg,37.480644038895896
18,2,0,100,18.svg,37.480644038895896
19,2,2,1,19.svg,37.480644038895896
20,2,2,10,20.svg,37.480644038895896
21,2,2,100,21.svg,37.480644038895896
22,2,4,1,22.svg,37.480644038895896
23,2,4,10,23.svg,37.480644038895896
24,2,4,100,24.svg,37.480644038895896
25,2,6,1,25.svg,37.480644038895896
26,2,6,10,26.svg,37.480644038895896
27,2,6,100,27.svg,37.480644038895896
28,2,8,1,28.svg,37.480644038895896
29,2,8,10,29.svg,37.480644038895896
30,2,8,100,30.svg,37.480644038895896
31,4,0,1,31.svg,37.480644038895896
32,4,0,10,32.svg,37.480644038895896
33,4,0,100,33.svg,37.480644038895896
34,4,2,1,34.svg,37.480644038895896
35,4,2,10,35.svg,37.480644038895896
36,4,2,100,36.svg,37.480644038895896
37,4,4,1,37.svg,37.480644038895896
38,4,4,10,38.svg,37.480644038895896
39,4,4,100,39.svg,37.480644038895896
40,4,6,1,40.svg,37.480644038895896
41,4,6,10,41.svg,37.480644038895896
42,4,6,100,42.svg,37.480644038895896
43,4,8,1,43.svg,37.480644038895896
44,4,8,10,44.svg,37.480644038895896
45,4,8,100,45.svg,37.480644038895896
46,6,0,1,46.svg,37.480644038895896
47,6,0,10,47.svg,37.480644038895896
48,6,0,100,48.svg,37.480644038895896
49,6,2,1,49.svg,37.480644038895896
50,6,2,10,50.svg,37.480644038895896
51,6,2,100,51.svg,37.480644038895896
52,6,4,1,52.svg,37.480644038895896
53,6,4,10,53.svg,37.480644038895896
54,6,4,100,54.svg,37.480644038895896
55,6,6,1,55.svg,37.480644038895896
56,6,6,10,56.svg,37.480644038895896
57,6,6,100,57.svg,37.480644038895896
58,6,8,1,58.svg,37.480644038895896
59,6,8,10,59.svg,37.480644038895896
60,6,8,100,60.svg,37.480644038895896
61,8,0,1,61.svg,37.480644038895896
62,8,0,10,62.svg,37.480644038895896
63,8,0,100,63.svg,37.480644038895896
64,8,2,1,64.svg,37.480644038895896
65,8,2,10,65.svg,37.480644038895896
66,8,2,100,66.svg,37.480644038895896
67,8,4,1,67.svg,37.480644038895896
68,8,4,10,68.svg,37.480644038895896
69,8,4,100,69.svg,37.480644038895896
70,8,6,1,70.svg,37.480644038895896
71,8,6,10,71.svg,37.480644038895896
72,8,6,100,72.svg,37.480644038895896
73,8,8,1,73.svg,37.480644038895896
74,8,8,10,74.svg,37.480644038895896
75,8,8,100,75.svg,37.480644038895896
