index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,75.54278397262468
2,0,0,10,2.svg,75.54278397262468
3,0,0,100,3.svg,75.54278397262468
4,0,2,1,4.svg,74.60441100327854
5,0,2,10,5.svg,74.60441100327854
6,0,2,100,6.svg,74.60441100327854
7,0,4,1,7.svg,74.27404511354077
8,0,4,10,8.svg,74.27404511354077
9,0,4,100,9.svg,74.27404511354077
10,0,6,1,10.svg,74.01498892142668
11,0,6,10,11.svg,74.01498892142668
12,0,6,100,12.svg,74.01498892142668
13,0,8,1,13.svg,73.73460763856092
14,0,8,10,14.svg,73.73460763856092
15,0,8,100,15.svg,73.73460763856092
16,2,0,1,16.svg,74.13920326025945
17,2,0,10,17.svg,74.13920326025945
18,2,0,100,18.svg,74.13920326025945
19,2,2,1,19.svg,74.09951984199327
20,2,2,10,20.svg,74.09951984199327
21,2,2,100,21.svg,74.09951984199327
22,2,4,1,22.svg,74.05643314347084
23,2,4,10,23.svg,74.05643314347084
24,2,4,100,24.svg,74.05643314347084
25,2,6,1,25.svg,73.9161557363675
26,2,6,10,26.svg,73.9161557363675
27,2,6,100,27.svg,73.9161557363675
28,2,8,1,28.svg,73.84437959649567
29,2,8,10,29.svg,73.84437959649567
30,2,8,100,30.svg,73.84437959649567
31,4,0,1,31.svg,73.88256118747766
32,4,0,10,32.svg,73.88256118747766
33,4,0,100,33.svg,73.88256118747766
34,4,2,1,34.svg,73.87054825353336
35,4,2,10,35.svg,73.87054825353336
36,4,2,100,36.svg,73.87054825353336
37,4,4,1,37.svg,73.86852055021662
38,4,4,10,38.svg,73.86852055021662
39,4,4,100,39.svg,73.86852055021662
40,4,6,1,40.svg,73.82728635785655
41,4,6,10,41.svg,73.82728635785655
42,4,6,100,42.svg,73.82728635785655
43,4,8,1,43.svg,73.80091151573866
44,4,8,10,44.svg,73.80091151573866
45,4,8,100,45.svg,73.80091151573866
46,6,0,1,46.svg,73.75010853776911
47,6,0,10,47.svg,73.75010853776911
48,6,0,100,48.svg,73.75010853776911
49,6,2,1,49.svg,73.74832929118887
50,6,2,10,50.svg,73.74832929118887
51,6,2,100,51.svg,73.74832929118887
52,6,4,1,52.svg,73.73484727927786
53,6,4,10,53.svg,73.73484727927786
54,6,4,100,54.svg,73.73484727927786
55,6,6,1,55.svg,73.72205091220275
56,6,6,10,56.svg,73.72205091220275
57,6,6,100,57.svg,73.72205091220275
58,6,8,1,58.svg,73.70088994226215
59,6,8,10,59.svg,73.70088994226215
60,6,8,100,60.svg,73.70088994226215
61,8,0,1,61.svg,73.6638803994839
62,8,0,10,62.svg,73.6638803994839
63,8,0,100,63.svg,73.6638803994839
64,8,2,1,64.svg,73.65856311535995
65,8,2,10,65.svg,73.65856311535995
66,8,2,100,66.svg,73.65856311535995
67,8,4,1,67.svg,73.63019831383372
68,8,4,10,68.svg,73.63019831383372
69,8,4,100,69.svg,73.63019831383372
70,8,6,1,70.svg,73.63726942940256
71,8,6,10,71.svg,73.63726942940256
72,8,6,100,72.svg,73.63726942940256
73,8,8,1,73.svg,73.62980549386717
74,8,8,10,74.svg,73.62980549386717
75,8,8,100,75.svg,73.62980549386717
